Samantha Thornton|Apr 20, 1966|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100144-samantha-thornton
Debra Lee Slimmon|Apr 3, 1967|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100145-debra-lee-slimmon
Janice Smithwick|Aug 6, 1952|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100147-janice-smithwick
Lisa Vlahov|Feb 2, 1966|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100149-lisa-vlahov
Maree White|Jun 7, 1960|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100150-maree-white
Janet Williams|Sep 15, 1953|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100151-janet-williams
Claudia Worm|Nov 9, 1967|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100152-claudia-worm
Marion Walter|May 13, 1968|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100153-marion-walter
Michaela Schausberger|Nov 29, 1968|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100154-michaela-schausberger
Doris Slama|Jul 21, 1969|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100155-doris-slama
Doris Puschner|Sep 10, 1967|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100156-doris-puschner
Cordula Petritsch|May 19, 1967|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100157-cordula-petritsch
Pia Kojetinsky|Mar 28, 1969|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100158-pia-kojetinsky
Margit Hauer|Mar 27, 1969|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100159-margit-hauer
Doris Gradauer|Jun 29, 1967|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100160-doris-gradauer
Karin Baumann|Apr 29, 1967|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100161-karin-baumann
Karin Aichhorn|Mar 23, 1950|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100162-karin-aichhorn
Theresia Bartmann|Jul 23, 1956|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100163-theresia-bartmann
Gabriele Roswitha Barton|Jul 22, 1957|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100164-gabriele-roswitha-barton
Irene Hilde Gardas|Mar 27, 1957|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100165-irene-hilde-gardas
Gabriele Maria Hans|Sep 20, 1957|0|N/A|AUT|AUT|https://www.fiba.basketball/en/players/100166-gabriele-maria-hans
